,total players,unique players,selection rate,represented teams,total teams,mean proj point best,mean proj value best,mean proj min best,mean proj enhanced min best,mean proj skewedfp best,mean proj point total,mean proj value total,mean proj min total,mean proj enhanced min total,mean proj skewedfp total
33,210,46,21.904761904761905,17,18,29.39375,4.820374999999999,28.84464285714286,29.79865608303685,29.461464285714282,19.163571428571426,3.731190476190476,19.695238095238096,19.739755768166134,21.57890476190476
34,175,54,30.857142857142854,14,14,32.46818181818181,5.315871212121212,29.40530303030303,33.2768690522092,31.580909090909092,18.46457142857143,3.6147142857142858,18.545714285714286,19.978093475434413,20.816000000000003
35,147,49,33.33333333333333,12,12,29.936213235294115,4.9108639705882355,27.840073529411764,31.611102181254438,28.500404411764706,17.982312925170067,3.3599319727891155,18.465986394557824,18.4323745857662,21.10299319727891
36,146,53,36.3013698630137,12,12,29.135845588235295,4.658253676470587,27.825367647058822,28.061349448338824,29.681507352941175,18.50890410958904,3.455,18.852739726027398,18.58718294103902,20.994657534246578
37,193,54,27.979274611398964,16,16,31.55285714285714,5.095375,28.258928571428573,32.14238662209133,30.374857142857145,18.510880829015544,3.5497927461139898,18.702072538860104,19.4360208964435,21.013471502590676
38,146,46,31.506849315068493,12,12,30.592187499999998,5.340086805555555,30.875,33.39576195050331,28.817604166666666,18.056164383561644,3.6378082191780816,18.955479452054796,19.833164580173285,20.12246575342466
39,151,47,31.125827814569533,12,12,32.125,5.191363636363636,28.767045454545453,32.349705551088434,32.070151515151515,18.33841059602649,3.604271523178808,18.29801324503311,19.284692150053836,20.831390728476823
40,100,43,43.0,8,8,30.922379032258064,5.102560483870968,29.280241935483872,32.51796774975985,28.76157258064516,17.8215,3.4451,18.305,19.27383968991794,20.2403
41,245,59,24.081632653061224,20,20,30.326520270270276,4.956064189189189,29.375,32.01648783412547,29.879763513513513,18.37387755102041,3.5210816326530616,18.851020408163265,19.3602272357822,20.85812244897959
42,77,39,50.649350649350644,6,6,32.18346774193548,5.274395161290323,29.070564516129032,32.88829730921719,31.037096774193547,17.655844155844157,3.33987012987013,17.733766233766232,18.901384379298683,20.23844155844156
43,298,45,15.100671140939598,23,24,32.16178571428571,5.2016785714285705,30.54642857142857,32.24978794850284,31.356,18.364261744966445,3.582097315436241,18.860738255033556,19.136462383386576,21.00191275167785
44,221,56,25.339366515837103,17,18,30.327321428571427,4.928875000000001,29.123214285714287,30.42062550007392,30.181464285714284,18.151131221719456,3.478235294117647,18.38235294117647,18.420609414561937,20.913303167420814
45,48,30,62.5,4,4,29.71875,4.8935,28.16875,29.7078303413907,30.105875000000005,18.98125,3.6684375,19.604166666666668,20.537829346990407,20.974166666666665
46,219,54,24.65753424657534,17,18,30.78952205882353,5.137077205882353,31.44485294117647,32.802434195518856,29.254595588235293,18.51095890410959,3.564337899543379,18.858447488584474,19.51085614973573,21.062100456621003
47,175,50,28.57142857142857,14,14,29.799285714285713,4.8613035714285715,29.376785714285713,29.835621880730884,30.120499999999993,17.97114285714286,3.377228571428572,18.568571428571428,18.804655945468017,20.611485714285717
48,120,40,33.33333333333333,10,10,31.227929687499998,5.1166015625,28.640625,33.581013175064825,29.760195312500002,18.751666666666665,3.596125,19.104166666666668,19.554413388593236,21.16166666666667
49,236,47,19.915254237288135,20,20,30.928409090909092,4.974204545454546,28.8125,31.677971533359734,29.668333333333337,18.84385593220339,3.5992796610169484,19.616525423728813,19.596688631483506,21.4039406779661
50,149,54,36.241610738255034,12,12,30.2325,4.839589285714286,27.707142857142856,30.967318806762158,29.207142857142856,18.608053691275167,3.598389261744966,18.610738255033556,19.647714675437573,20.64697986577181
51,174,46,26.436781609195403,14,14,31.278787878787874,5.484223484848485,30.09280303030303,33.62303037036175,30.478333333333335,17.46580459770115,3.4842816091954028,18.344827586206897,18.67436561607245,19.901551724137935
52,115,44,38.26086956521739,10,10,31.540234374999997,5.22142578125,29.515625,31.849619880006095,31.088828125,19.847826086956523,3.914869565217391,20.004347826086956,20.027101350214906,21.8224347826087
53,154,43,27.92207792207792,12,12,31.556666666666665,5.291020833333333,29.670833333333334,34.46553321877953,28.81408333333333,17.514285714285712,3.488798701298701,18.194805194805195,19.12816796144707,19.282467532467532
54,241,41,17.012448132780083,18,20,31.39296875,5.06412109375,29.34375,32.74887931058957,30.1821875,18.862863070539422,3.708838174273859,19.402489626556015,20.622936528083137,20.642116182572614
55,96,44,45.83333333333333,8,8,29.112109374999996,4.80716796875,31.119140625,29.067784812902584,29.3896875,18.090104166666666,3.303125,19.010416666666668,19.0000554393944,20.669479166666665
56,218,55,25.229357798165136,17,18,31.514464285714283,5.282821428571428,30.541071428571428,34.06068976863606,29.831535714285707,18.393577981651376,3.6152752293577985,19.089449541284402,19.462225057752136,20.875045871559635
57,141,45,31.914893617021278,12,12,30.83314393939394,4.9847537878787875,29.75,31.013618071316188,30.112765151515152,18.870921985815603,3.642943262411347,19.30851063829787,20.164214318949867,21.074751773049645
58,216,53,24.537037037037038,18,18,31.024652777777778,5.172187500000001,29.475694444444443,32.095682793997504,29.212638888888893,18.473842592592593,3.5807175925925936,19.15972222222222,19.356505694288913,20.990694444444443
59,91,45,49.45054945054945,8,8,31.49191176470588,5.3359375,28.53860294117647,32.727770429534246,29.33845588235294,19.366483516483516,3.9620329670329673,19.681318681318682,21.747831144453095,20.377252747252747
60,208,42,20.192307692307693,16,18,28.91136363636364,4.6652272727272734,28.018939393939394,28.227077986902046,28.727272727272727,19.400721153846156,3.7970192307692305,20.076923076923077,20.776300034789895,21.403221153846154
61,139,60,43.16546762589928,12,12,30.80723684210526,5.0260197368421045,28.46875,31.208324500591335,30.36776315789474,19.47410071942446,3.67863309352518,19.705035971223023,20.52486086591388,21.963884892086327
62,215,51,23.72093023255814,17,18,30.595535714285713,4.9828214285714285,29.648214285714285,30.90209992470157,29.97396428571429,18.662790697674417,3.610348837209302,19.34186046511628,19.89248328714662,20.776
63,97,45,46.391752577319586,8,8,31.628125,5.055772058823529,29.43198529411765,31.93329611429658,30.297757352941176,19.130927835051544,3.6943298969072167,18.989690721649485,19.89165805425365,21.494020618556696
64,95,47,49.473684210526315,8,8,30.47214285714286,4.947928571428571,27.90535714285714,31.337551740558215,30.9465,19.132105263157897,3.682578947368421,19.373684210526317,19.99078015286497,21.189999999999998
65,150,47,31.333333333333336,12,12,31.08092105263158,5.116266447368421,27.738486842105264,34.00615851958649,29.026184210526313,17.93133333333333,3.5525666666666664,18.14666666666667,18.94079055930742,20.497999999999998
66,90,43,47.77777777777778,8,8,32.078860294117646,5.427683823529412,29.121323529411764,34.2871335702962,30.826507352941174,20.067777777777778,4.067944444444445,20.677777777777777,23.061371658642223,21.057555555555552
67,310,47,15.161290322580644,21,26,30.828024193548384,4.969677419354839,29.41733870967742,32.015502055948375,29.858830645161294,19.044032258064515,3.7464999999999997,19.466129032258063,20.05143975927649,21.05938709677419
68,108,43,39.81481481481482,10,10,32.96041666666667,5.496856060606061,29.869318181818183,35.38817166262958,30.972159090909088,20.711111111111112,4.109259259259259,21.28240740740741,21.405765507950672,22.388333333333335
69,144,48,33.33333333333333,12,12,29.17214285714286,4.728624999999999,28.151785714285715,28.836326744999685,28.863714285714288,18.761458333333337,3.641736111111111,19.27777777777778,19.233248214392564,21.250625
70,121,49,40.49586776859504,10,10,30.02829861111111,4.843559027777777,28.76215277777778,30.926877098672964,29.982812500000005,19.245454545454542,3.563388429752066,19.355371900826448,20.312618058087256,21.87107438016529
71,252,46,18.253968253968253,20,22,31.613671875000005,5.2197265625,30.591796875,32.79039099428941,30.670703124999996,19.430555555555557,3.765138888888889,19.91269841269841,20.70966861462848,21.426984126984124
72,97,46,47.42268041237113,8,8,30.793014705882356,4.938216911764705,28.830882352941178,30.998697346416506,30.035588235294117,18.24742268041237,3.6917010309278355,18.778350515463917,18.957277938814755,19.943092783505154
73,163,48,29.447852760736197,14,14,30.214843750000007,4.73892578125,27.103515625,30.352203819252463,30.20140625,19.52361963190184,3.7999079754601226,19.71472392638037,20.33937603754893,20.974171779141106
74,242,48,19.834710743801654,20,20,29.401838235294115,4.7853860294117645,28.897058823529413,30.033762456420572,28.839779411764706,18.37913223140496,3.4830785123966943,19.09710743801653,19.442109156257942,20.852190082644626
